ModeOfTransport,Name,Type,Month,Year,PassengerCount
Bus,Outer Sydney Metro Contract 7,Adult,Aug,2018,"44,481"
Bus,Outer Sydney Metro Contract 7,Adult,Sep,2016,"36,973"
Bus,Outer Sydney Metro Contract 7,Adult,Sep,2017,"38,991"
Bus,Outer Sydney Metro Contract 7,Adult,Sep,2018,"41,611"
Bus,Outer Sydney Metro Contract 7,Adult,Oct,2016,"35,604"
Bus,Outer Sydney Metro Contract 7,Adult,Oct,2017,"39,268"
Bus,Outer Sydney Metro Contract 7,Adult,Oct,2018,"43,080"
Bus,Outer Sydney Metro Contract 7,Adult,Nov,2016,"38,215"
Bus,Outer Sydney Metro Contract 7,Adult,Nov,2017,"42,003"
Bus,Outer Sydney Metro Contract 7,Adult,Nov,2018,"45,310"
Bus,Outer Sydney Metro Contract 7,Adult,Dec,2016,"35,499"
Bus,Outer Sydney Metro Contract 7,Adult,Dec,2017,"39,380"
Bus,Outer Sydney Metro Contract 7,Adult,Dec,2018,"42,568"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Jan,2017,"3,557"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Jan,2018,"3,447"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Jan,2019,"2,774"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Feb,2017,"3,297"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Feb,2018,"3,015"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Feb,2019,"2,430"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Mar,2017,"3,521"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Mar,2018,"2,881"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Apr,2017,"3,313"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Apr,2018,"2,843"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,May,2017,"3,401"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,May,2018,"2,797"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Jun,2017,"3,022"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Jun,2018,"2,562"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Jul,2017,"3,129"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Jul,2018,"2,774"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Aug,2016,"3,782"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Aug,2017,"2,913"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Aug,2018,"2,636"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Sep,2016,"3,654"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Sep,2017,"2,995"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Sep,2018,"2,479"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Oct,2016,"3,623"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Oct,2017,"3,247"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Oct,2018,"2,762"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Nov,2016,"3,669"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Nov,2017,"3,229"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Nov,2018,"2,686"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Dec,2016,"3,698"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Dec,2017,"3,454"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,Dec,2018,"2,975"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Jan,2017,"2,333"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Jan,2018,"2,023"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Jan,2019,"1,608"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Feb,2017,"2,132"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Feb,2018,"1,875"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Feb,2019,"1,379"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Mar,2017,"2,340"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Mar,2018,"1,957"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Apr,2017,"2,251"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Apr,2018,"1,867"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,May,2017,"2,308"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,May,2018,"1,908"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Jun,2017,"2,158"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Jun,2018,"1,624"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Jul,2017,"2,241"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Jul,2018,"1,834"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Aug,2016,"3,118"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Aug,2017,"1,981"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Aug,2018,"1,762"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Sep,2016,"2,659"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Sep,2017,"1,890"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Sep,2018,"1,628"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Oct,2016,"2,537"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Oct,2017,"1,891"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Oct,2018,"1,688"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Nov,2016,"2,567"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Nov,2017,"1,981"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Nov,2018,"1,567"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Dec,2016,"2,677"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Dec,2017,"2,131"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,Dec,2018,"1,781"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Jan,2017,"1,890"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Jan,2018,"1,483"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Jan,2019,"1,265"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Feb,2017,"1,562"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Feb,2018,"1,433"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Feb,2019,"1,002"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Mar,2017,"1,858"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Mar,2018,"1,554"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Apr,2017,"1,684"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Apr,2018,"1,543"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,May,2017,"1,799"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,May,2018,"1,468"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Jun,2017,"1,610"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Jun,2018,"1,143"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Jul,2017,"1,734"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Jul,2018,"1,409"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Aug,2016,"2,490"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Aug,2017,"1,642"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Aug,2018,"1,254"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Sep,2016,"2,279"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Sep,2017,"1,436"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Sep,2018,"1,163"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Oct,2016,"2,134"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Oct,2017,"1,598"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Oct,2018,"1,266"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Nov,2016,"2,128"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Nov,2017,"1,612"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Nov,2018,"1,333"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Dec,2016,"1,927"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Dec,2017,"1,528"
Bus,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,Dec,2018,"1,151"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jan,2017,"16,176"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jan,2018,"18,577"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Jan,2019,"17,678"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Feb,2017,"14,307"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Feb,2018,"15,174"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Feb,2019,"15,111"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Mar,2017,"16,025"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Mar,2018,"16,279"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Apr,2017,"16,042"
Bus,Outer Sydney Metro Contract 7,Child/Youth,Apr,2018,"16,936"
Bus,Outer Sydney Metro Contract 7,Child/Youth,May,2017,"15,823"
